Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Ипполит Пережогин",easy,45,Completed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","18:51:47","18:54:03",
Bot1,"Ипполит Пережогин",easy,45,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","18:54:08","18:55:37",
Bot6,"Houston Armenta",normal,36,Failed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #2","1","18:51:49","19:04:22",
Bot5,"Colby Edmunds",normal,50,Completed,"Lend-Lease - Part 1","Item Motor Controller #2","1","18:51:49","18:55:11",
Bot5,"Colby Edmunds",normal,50,Failed,"Lend-Lease - Part 1","Item Motor Controller #3","1","18:55:16","19:01:44",
Bot5,"Colby Edmunds",normal,50,Completed,"Nostalgia","Zone huntsman_026","1","19:01:49","19:06:14",
Bot5,"Colby Edmunds",normal,50,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #1","1","19:06:19","19:06:54",
Bot5,"Colby Edmunds",normal,50,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","19:07:00","19:08:27",
Bot5,"Colby Edmunds",normal,50,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #3","1","19:08:32","19:09:27",
Bot5,"Colby Edmunds",normal,50,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","19:09:33","19:10:00",
Bot5,"Colby Edmunds",normal,50,Archived,"Power Station Sniping 2","Power Station Sniping 2: Objective #1","2","19:10:06","19:14:36",
Bot5,"Colby Edmunds",normal,50,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #2","1","19:14:42","19:16:58",
Bot5,"Colby Edmunds",normal,50,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #3","1","19:17:03","19:17:15",
Bot5,"Colby Edmunds",normal,50,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #4","1","19:17:20","19:17:28",
Bot5,"Colby Edmunds",normal,50,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #5","1","19:17:33","19:17:49",
Bot5,"Colby Edmunds",normal,50,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #1","1","19:17:54","19:18:06",
